major_group,item_name,display_name,weight,tier,tier_label,diesel_exposed,narrative
Food and beverages,Food at home,Food at home,8.325,cold_chain,Grocery freight,True,"Nearly everything in a grocery store arrives on a diesel truck, most of it more than once a week. Produce, meat, dairy and dry goods all move farm to processor to distribution center to store, and every leg burns diesel. This is the clearest case in the whole basket: when diesel moves, grocery prices follow."
Food and beverages,Food away from home,Food away from home,5.373,freight_dependent_service,Service that runs on trucked inputs,True,"Restaurant inputs arrive by truck. A typical kitchen takes deliveries of produce, meat, dry goods and beverages several times a week from diesel distribution fleets, and the menu price carries that freight even though the diner never sees a line item for it."
Food and beverages,Alcoholic beverages away from home,Alcohol away from home,0.443,freight_dependent_service,Service that runs on trucked inputs,True,"Beer, wine and spirits reach bars and restaurants through a three-tier distribution system that is entirely truck-based. Liquid is heavy and cheap per pound, so freight is a bigger share of its delivered cost than most people would guess."
Food and beverages,Alcoholic beverages at home,Alcohol at home,0.397,heavy_freight,Heavy freight,True,"Bottled and canned drinks are some of the densest freight in retail. Distributors run dedicated diesel routes to every store, and the weight-to-value ratio means a fuel move reaches the shelf price faster than it does for lighter goods."
Housing,Owners' equivalent rent of residences,Owners' equivalent rent,26.204,none,No meaningful diesel content,False,"The rent an owner would pay to rent their own home from themselves. Nothing is manufactured, nothing is delivered, no freight is consumed. At more than a quarter of the index on its own, this is the largest genuinely diesel-free category in the CPI -- and a big part of why the diesel-exposed share tops out where it does."
Housing,Rent of primary residence,Rent of primary residence,7.84,none,No meaningful diesel content,False,"A monthly payment for space that already exists. Repairs carry a little embedded freight, but rent itself is a claim on land and structure, not on anything that has to be moved."
Housing,Energy services,Energy services,3.262,other_fuel,"Other fuel, not diesel",False,"Electricity and piped natural gas, delivered by wire and pipeline rather than by truck. The fuel exposure is real but it runs to natural gas and coal, not diesel, so it is kept out of the diesel total on purpose."
Housing,Lodging away from home,Lodging away from home,1.289,freight_dependent_service,Service that runs on trucked inputs,True,"Hotels consume trucked goods continuously -- linens, food, cleaning supplies, amenities -- on a resupply cadence closer to a restaurant's than an office's."
Housing,Water and sewer and trash collection services,"Water, sewer and trash",1.144,diesel_service,Delivered by a diesel vehicle,True,"Refuse collection is one of the most diesel-intensive services a household buys. Garbage trucks are heavy, stop every few hundred feet, idle while they load, and post some of the worst fuel economy of any vehicle class on the road."
Housing,Furniture and bedding,Furniture and bedding,0.884,heavy_freight,Heavy freight,True,"Bulky, heavy and awkward to pack, furniture is close to a worst case for freight economics: it fills a trailer by volume long before it fills it by weight, then often takes a second diesel leg for delivery into the house."
Housing,Household operations,Household operations,0.881,freight_dependent_service,Service that runs on trucked inputs,True,"Housekeeping, gardening, moving and storage. Moving is diesel from end to end, and the lawn and garden trades tow equipment to every job."
Housing,Housekeeping supplies,Housekeeping supplies,0.847,light_freight,Light freight,True,"Detergents, paper goods and cleaners are heavy and cheap per pound. Water and wood pulp travel a long way by truck before anyone buys them."
Housing,"Tools, hardware, outdoor equipment and supplies","Tools, hardware and outdoor",0.691,heavy_freight,Heavy freight,True,"Lumber, fasteners, paint, mowers and grills. Home-center inventory is dense, heavy and restocked constantly by dedicated fleets running out of regional distribution centers."
Housing,Other household equipment and furnishings,Other home furnishings,0.566,heavy_freight,Heavy freight,True,"Cookware, dishes, lamps and decor, trucked from port or plant to distribution center to store. Breakage risk keeps it on roads rather than cheaper modes."
Housing,Tenants' and household insurance,Tenants' and household insurance,0.292,none,No meaningful diesel content,False,"A financial contract. Premiums move with claims experience and interest rates, not with the cost of moving anything."
Housing,Window and floor coverings and other linens,Floor coverings and linens,0.238,light_freight,Light freight,True,"Textiles and floor coverings, mostly imported and then trucked inland from the port. Rolled carpet in particular is heavy, bulky freight."
Housing,Appliances,Appliances,0.191,heavy_freight,Heavy freight,True,"Refrigerators, washers and ranges are the textbook definition of heavy freight: high weight, high volume, few units per trailer, and usually a second diesel leg for delivery and installation."
Housing,Fuel oil and other fuels,Heating oil and other fuels,0.14,direct_diesel,"Diesel, bought directly",True,"Home heating oil is essentially diesel. It comes off the same distillate cut of the barrel, competes for the same refinery output, and arrives at the house on a diesel tanker truck. When diesel moves, this moves with it almost one for one."
Apparel,Women's apparel,Women's apparel,0.787,light_freight,Light freight,True,"Overwhelmingly imported, then trucked from port to distribution center to store or doorstep. Clothing is light for its value, so freight is a small share of the price -- but it is never zero, and e-commerce has added diesel legs to garments that used to make only one trip."
Apparel,Men's apparel,Men's apparel,0.472,light_freight,Light freight,True,"The same import-and-truck path as the rest of apparel: container to port, a short diesel drayage move to a distribution center, then line-haul to wherever it is sold."
Apparel,Women's footwear,Women's footwear,0.269,light_freight,Light freight,True,"Shoes ship in boxes that waste a lot of trailer space for their weight, which pushes freight cost per pair above what the materials alone would suggest."
